checkpoint,layer,head,entropy
1000M,10,8,1.9731242656707764
1000M,10,9,1.3724393844604492
1000M,10,10,1.6352269649505615
1000M,10,11,1.431610345840454
1000M,11,0,1.9147160053253174
1000M,11,1,0.37556540966033936
1000M,11,2,1.6652188301086426
1000M,11,3,1.188448190689087
1000M,11,4,1.659099817276001
1000M,11,5,0.6796042323112488
1000M,11,6,1.9011605978012085
1000M,11,7,1.7027637958526611
1000M,11,8,1.9297621250152588
1000M,11,9,0.9066885113716125
1000M,11,10,1.836904764175415
1000M,11,11,2.0113472938537598
